CIK,Ticker,Date,% day,% week,% month,10day Vol,Percent Change,Increased?,flesch reading ease,flesch kincaid,gunning fog,smog index,ARI,coleman,linsear,dale chall,TextBlob,NLTK neg,NLTK neu,NLTK pos
750556,STI,2/23/2016,0.375072129,1.442585113,-1.384881708,0.015283013,-4.103299857,0,39.67,13.4,11.2,11.2,16.4,15.26,7.5,5.87,0.065595473,0.051,0.787,0.162
750577,HBHC,2/26/2016,0.563746748,-0.693842151,4.683434519,0.022317261,1.585204756,1,41.7,12.7,10.4,11.2,15.8,15.03,18.5,5.84,0.052398812,0.055,0.787,0.158
750686,CAC,3/14/2016,0,-46.84750733,3.482404692,0.228531847,49.19058131,1,40.69,13.1,10.8,11.2,15.8,15.15,8,5.92,0.074049097,0.045,0.802,0.153
751364,NNN,2/12/2016,5.166051661,3.646624702,13.67484263,0.0105305,-1.126076397,0,39.67,13.4,11.2,11.2,16.5,15.38,8,6.28,0.06444924,0.047,0.818,0.135
751365,VIRC,4/26/2016,#N/A,#N/A,#N/A,0.028904937,3.80952381,1,43.73,11.9,9.6,8.8,15.1,15.61,13.5,5.91,0.06097929,0.044,0.826,0.131
751652,STR,4/28/2016,0.199441564,0.319106502,1.276426007,0.000922334,-0.159299084,0,39.67,13.4,11.2,11.2,17,15.73,19,6.24,0.049088018,0.047,0.818,0.135
751978,VICR,3/8/2016,4.295704296,16.68331668,25.97402597,0.023020379,0.602409639,0,36.63,14.6,12.4,11.2,17.3,14.68,7,5.94,0.053151365,0.049,0.825,0.125
752642,UMH,3/9/2016,-0.829875519,1.763485477,4.979253112,0.005381784,2.697095436,1,42.72,12.3,10,8.8,15.1,14.85,11,5.89,0.050382379,0.043,0.81,0.147
752714,MGRC,2/25/2016,1.065043743,-0.11411183,13.95968049,0.01283261,-6.492027335,0,28.17,15.8,12.4,11.2,18.2,15.32,14.5,5.96,0.055041737,0.055,0.839,0.107
753308,NEE,2/22/2016,0,2.302345786,7.280625543,0.009148841,0.363007779,0,41.7,12.7,10.4,8.8,15.7,15.2,14,6.22,0.034779539,0.049,0.801,0.15
753568,EXAR,5/27/2016,-0.306278714,4.747320061,6.278713629,0.02188885,4.434250765,1,45.76,11.1,8.8,8.8,13.5,14.96,14,5.96,0.072305546,0.051,0.816,0.133
753772,MZEI,3/3/2016,0,-17.64705882,-44.31372549,0.089433881,-11.96078431,0,40.69,13.1,10.8,11.2,15.8,15.09,11,6.15,0.045285503,0.048,0.833,0.119
754673,SUBK,2/29/2016,0,-0.906852153,-2.468119551,0.011946895,1.666220786,1,41.7,12.7,10.4,11.2,15.3,14.56,7.5,5.54,0.071416859,0.058,0.799,0.143
754737,SCG,2/26/2016,-0.37627935,0.963275136,8.774834437,0.012115489,-2.635519617,0,42.72,12.3,10,8.8,14.9,15.08,10.5,5.97,0.030308216,0.046,0.832,0.122
754811,GROW,9/14/2016,-2.209944751,-11.60220994,-13.8121547,0.020465943,2.222222222,1,39.67,13.4,11.2,11.2,16,14.68,7,6.35,0.06042087,0.037,0.823,0.14
754813,HEWA,3/25/2016,-1.960784314,-17.64705882,0,#N/A,0,0,36.63,14.6,12.4,11.2,17.1,14.34,11,5.85,0.047908123,0.046,0.83,0.125
755001,UTL,1/28/2016,-0.604894144,0.49491339,-0.027495188,0.014971567,5.098996474,1,45.76,11.1,8.8,8.8,13.4,14.79,18.5,5.8,0.033246035,0.042,0.823,0.134
