CIK,Ticker,Date,% change day,% change week,% change month,10day Vol,Percent Change,Increased?,flesch reading ease,flesch kincaid,gunning fog,smog index,ARI,coleman,linsear,dale chall,textblob sentiment,NLTK Negative,NLTK Neutral,NLTK Positive
1070698,RPTP,3/2/2015,0,-2.685950413,6.921487603,0.03003155,-0.723140496,0,34.6,15.4,13.2,11.2,18.6,15.03,14,6.21,0.04467858,0.049,0.804,0.147
101829,UTX,2/11/2016,-2.71674935,-4.086935979,-6.898180959,0.015150113,-1.161453542,0,34.6,15.4,13.2,11.2,18.5,14.68,8,2.15,0.034347697,0.034,0.824,0.142
1394074,SEP,2/24/2017,-0.690730838,-1.448306595,-1.827094474,0.005496467,-1.50475769,0,34.6,15.4,13.2,11.2,18,14.28,8.5,5.83,,,,
1477294,ST,2/2/2017,0.655891309,-0.093698758,6.81658468,0.010175101,-1.815609526,0,34.6,15.4,13.2,11.2,18.8,15.26,11,5.98,,,,
1087456,UBOH,3/2/2017,-1.982378855,-0.660792952,-1.101321586,0.010165333,-1.943844492,0,34.6,15.4,13.2,11.2,18.5,14.81,9,2.16,0.079092146,0.057,0.79,0.153
102037,UVV,5/27/2016,-0.432043204,2.358235824,1.602160216,0.013640263,-1.953755153,0,34.6,15.4,13.2,11.2,18.5,14.75,14,5.88,0.057572488,0.039,0.824,0.137
791519,SPLS,3/6/2015,-2.803738318,-4.45482866,-4.236760125,0.01611235,-2,0,34.6,15.4,13.2,11.2,18.5,14.92,12,6.12,0.048557075,0.033,0.838,0.129
785161,HLS,3/2/2015,0,-2.675130356,-0.453411925,0.019440314,-2.199047835,0,34.6,15.4,13.2,11.2,18.7,14.86,12,5.91,0.039747399,0.043,0.81,0.148
1472494,BNO,3/10/2017,-2.288984263,-8.655221745,-7.939914163,0.01785941,-2.237762238,0,34.6,15.4,13.2,11.2,18.2,14.57,8.5,2.16,,,,
720672,SF,2/23/2017,-0.9321879,-1.316029976,9.723999269,0.008202602,-2.299891344,0,34.6,15.4,13.2,11.2,18.9,15.15,11.5,6.18,,,,
72573,MOV,3/20/2017,0,11.4,0.8,0.021034361,-2.6,0,34.6,15.4,13.2,11.2,18.7,15.1,13.5,2.13,,,,
1575879,CACQ,2/29/2016,0,-9.075907591,7.590759076,0.04844125,-2.640264026,0,34.6,15.4,13.2,11.2,18.1,14.16,11,6.01,0.064568353,0.049,0.787,0.164
784977,POR,2/12/2016,-2.09314495,-5.259026688,4.369440084,0.010216888,-3.02409021,0,34.6,15.4,13.2,11.2,18.5,14.86,12,5.89,0.046868711,0.044,0.83,0.126
1166388,VRNT,3/30/2016,-5.076142132,-2.687369364,-6.091370558,0.018900886,-5.143506678,0,34.6,15.4,13.2,13,18.9,15.09,8.5,2.12,0.055387296,0.047,0.786,0.167
786947,ACUR,3/2/2015,0,25,39.78409091,0.060599722,-6.829545455,0,34.6,15.4,13.2,11.2,18.9,15.21,8.5,5.97,0.053396025,0.06,0.798,0.142
879169,INCY,3/15/2016,-5.088360756,-8.424741012,-9.186471664,0.024888651,-7.552913888,0,34.6,15.4,13.2,11.2,19.1,15.44,13.5,5.98,0.062134713,0.047,0.812,0.14
69733,NATH,6/12/2015,0.049164208,3.859390364,-6.415929204,0.018583759,-7.648794884,0,34.6,15.4,13.2,11.2,18.7,15.1,14.5,6.22,0.063900884,0.041,0.812,0.147
1515115,SOUL,4/1/2016,12.5,25,-37.5,0.083375335,-14.28571429,0,34.6,15.4,13.2,11.2,18.6,14.92,11,6.18,0.043634064,0.04,0.819,0.142
1462418,ASPS,2/16/2017,-35.45974483,-26.6608007,-15.83809943,0.086387985,-24.78077298,0,34.6,15.4,13.2,11.2,18.6,14.92,11,6.3,,,,
888981,NNUP,3/30/2016,-40,74.44444444,68.66666667,0.109745277,-59.25396825,0,34.6,15.4,13.2,11.2,18.3,14.63,11,5.83,0.051199659,0.038,0.838,0.124
1476963,HTBX,3/27/2015,,-9.822866345,-10.78904992,0.041790782,,,34.6,15.4,13.2,11.2,18,14.34,8.5,6.25,0.037760183,0.06,0.819,0.121
804328,QCOM,11/4/2015,-1.012280119,-0.008297378,6.687686691,0.009955247,,,34.6,15.4,13.2,11.2,18.8,15.32,13.5,6.23,0.05657323,0.044,0.807,0.149
1515673,RARE,2/26/2016,,,-4.060995185,0.03106252,,,34.6,15.4,13.2,11.2,18.1,14.39,7,5.92,0.039340978,0.05,0.827,0.123
1580185,JGW,3/10/2016,,0,0,0,,,34.6,15.4,13.2,11.2,18.3,14.39,6,5.94,0.06417852,0.052,0.799,0.149
889936,PVTB,2/26/2016,,3.533069531,-1.667608819,0.015126178,,,34.6,15.4,13.2,11.2,18.6,14.98,7,6.3,0.077834796,0.046,0.799,0.154
